Peak No.,Compound,Category,D101,D2,D24,Odor description
3,Ethyl acetate,Ester,0.28,0.61,0.93,"Pleasant, ethereal, fruity, brandy-like odor"
4,Methyl propanoate,Ester,0.97,0.88,0.71,Fruity odor reminiscent of rum
7,Ethyl propanoate,Ester,3.11,1.85,2.53,Odor reminiscent of rum and pineapple
8,Ethyl 2-methyl propanoate,Ester,0.46,0.51,0.52,Fruity aromatic odor
9,Propyl acetate,Ester,0.19,0.09,0.56,"Fruity, pear and raspberry-like odor"
10,Methyl butanoate,Ester,0.3,0.45,0,Apple-like odor
11,Methyl 2-butanoate,Ester,4.07,2.33,2.29,"Sweet fruity, apple-like odour"
12,Ethyl butanoate,Ester,0.85,2.22,0.04,Fruity odor with pineapple undertone
13,Propyl propanoate,Ester,4.63,1.74,3.81,Complex fruity odor reminiscent of apple banana
14,Ethyl 2-methylbutanoate,Ester,21.89,29.68,4.97,"Powerful green, fruity apple-like odor"
15,Ethyl 3-methylbutanoate,Ester,0.32,0.22,0.22,Fruity odor reminiscent of apple
17,Propyl butanoate,Ester,0.95,0.63,0.95,Pineapple and apricot-like odor
18,Propyl 2-methylbutanoate,Ester,12.67,4.77,11.3,
19,Propyl 3-methylbutanoate,Ester,0.19,0,0.38,Fruity odor
20,Ethyl 2-butenoate,Ester,0,0.14,0,
22,Methyl hexanoate,Ester,0.32,1.7,0,Ether-like odor reminicent of pineapple
23,3-methylbutyl propanoate,Ester,0.73,0,0.6,Pineapple-apricot like odor
26,Ethyl hexanoate,Ester,1.17,5.52,0,Powerful fruity odor with pineapple-banana note
28,Propyl hexanoate,Ester,0.58,0.45,0.31,"Ether-like odor with pineapple, blackberry undertone"
29,Ethyl heptanoate,Ester,0.15,0.25,0.15,Fruity odor reminisent of cognac; winey-brandy odor
32,Methyl octanoate,Ester,0.22,0.1,0,"Powerful winey, fruity, orange-like odor"
33,Ethyl octanoate,Ester,0.55,0.55,0.26,Pleasant fruity floral odor with wine and apricot note
6,Ethanol,Alcohol,0.72,1.09,0.56,
1,Ethanethiol,Sulfur-compounds,5.48,4.26,3.55,"Onion, rubber odor"
2,Propanethiol,Sulfur-compounds,5,2.72,5.77,"Cabbage, sweet onion-like odor"
5,1-(methylthio)-propane,Sulfur-compounds,0.27,0,0.13,
16,S-ethyl ethanethioate,Sulfur-compounds,0.34,0,0.31,Alliaceous coffee odor
21,S-propyl ethanethioate,Sulfur-compounds,0.09,0.06,0.32,
24,Diethyl disulfide,Sulfur-compounds,12.42,15.85,18.76,"Sulfury, roasty, cabbage-like odor"
25,Methyl propyl disulfide,Sulfur-compounds,0,0,0.33,Powerful penetrating sulfuraceous-onion-like odor
27,Ethyl propyl disulfide,Sulfur-compounds,3.63,3.35,9.04,
30,1-(ethylthio)-1-(methylthio)-ethane,Sulfur-compounds,0.66,0.14,0.66,
31,Dipropyl disulfide,Sulfur-compounds,0.2,0.11,1.03,Pungent sulfur-like onion and garlic odor
34,Diethyl trisulfide,Sulfur-compounds,5.97,14.68,2.52,Sweet alliaceous odor
35,Ethyl propyl trisulfide,Sulfur-compounds,0.86,1.73,0.68,"Alliaceous, roasted, rubbery odor"
36,"3,5-dimethyl-1,2,4-trithiolane (isomer i)",Sulfur-compounds,0.47,1.46,1.74,"Sulfury, heavy, cocoa odor"
37,"3,5-dimethyl-1,2,4-trithiolane (isomer 2)",Sulfur-compounds,0.59,1.47,1.71,"Sulfury, onion odor"
38,Dipropyl trisulfide,Sulfur-compounds,0.12,0.16,0.11,Powerful diffusive garlic-like odor
39,"1,1-bis(ethylthio)-ethane",Sulfur-compounds,0.42,0.49,0.71,"Burnt, rubbery, alliaceous odor"